ForwardLength_max,ForwardLength_min,ForwardLength_sd,ForwardLength_avg,ForwardTime_max,ForwardTime_min,ForwardTime_sd,ForwardTime_avg,BackwardLength_max,BackwardLength_min,BackwardLength_sd,BackwardLength_avg,BackwardTime_max,BackwardTime_min,BackwardTime_sd,BackwardTime_avg,VPN
309,180,60.81118318,266,0.010011,0.000461,0.004459177,0.003705667,1454,60,616.6493542,894.4242424,0.003939,1.00E-06,0.000813892,0.000393515,0
312,180,62.22539674,268,0.010907,0.000438,0.004869801,0.004022,1454,220,536.7411294,1019.4,0.132586,1.00E-06,0.039191527,0.0154829,0
310,180,61.2825877,266.6666667,0.010205,0.00046,0.004513158,0.003825667,1454,60,520.0390777,1160.690476,0.091268,1.00E-06,0.014163842,0.003039571,0
309,180,60.81118318,266,0.010421,0.000675,0.004528628,0.004018667,1454,60,603.2145988,906.2258065,0.00402,1.00E-06,0.00087117,0.000428258,0
312,180,62.22539674,268,0.010249,0.000419,0.004396082,0.004065,1454,263,510.7860772,1025.5,0.164512,1.00E-06,0.044595933,0.01805075,0
310,180,61.2825877,266.6666667,0.010505,0.000452,0.004616153,0.003984333,1454,60,539.55503,1123.864865,0.153643,1.00E-06,0.025373181,0.005796027,0
309,180,60.81118318,266,0.011349,0.000664,0.004998751,0.004280333,1454,60,613.7936052,878.1875,0.004409,1.00E-06,0.000844795,0.00038125,0
312,180,62.22539674,268,0.010401,0.000448,0.004619882,0.00387,1454,254,539.601149,1016,0.027601,2.00E-06,0.008306926,0.0038068,0
310,180,61.2825877,266.6666667,0.009008,0.000697,0.003915959,0.00347,1454,60,534.7594202,1146.75,0.059021,1.00E-06,0.011072918,0.00409165,0
309,180,60.81118318,266,0.011744,0.000854,0.005042182,0.004617,1454,60,619.2342188,864.4193548,0.003724,1.00E-06,0.000940719,0.000430645,0
312,180,62.22539674,268,0.009188,0.000633,0.003899985,0.003683333,1454,150,518.3348978,1033.071429,0.030299,4.00E-06,0.009295719,0.005962714,0
310,180,61.2825877,266.6666667,0.00961,0.000682,0.004182551,0.003695333,1454,60,533.7609009,1147.725,0.088662,2.00E-06,0.014333033,0.00384405,0
599,151,179.4217378,407.2,30.918171,0.000284,12.36621401,6.1857438,1454,173,518.610885,885.5,0.050115,5.00E-06,0.021836105,0.02800075,0
309,180,60.81118318,266,0.00961,0.000651,0.004221664,0.003639667,1454,60,610.7694595,992.5909091,0.006286,1.00E-06,0.001565371,0.000839364,0
